ID,Time,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
192,164709,0,0,0,0,0,1,0,0
12,164724,3,17,,,,,,
192,164739,0,0,0,0,0,1,0,0
11,164749,0,47,,,,,,
15,164749,1,,,,,,,
192,164769,0,0,0,0,0,1,0,0
192,164799,0,0,0,0,0,1,0,0
11,164800,0,45,,,,,,
12,164800,3,18,,,,,,
192,164829,0,0,0,0,0,1,0,0
11,164849,0,46,,,,,,
15,164849,1,,,,,,,
192,164859,235,0,0,0,0,1,0,0
12,164874,3,17,,,,,,
192,164889,158,1,0,0,0,1,0,0
11,164899,0,47,,,,,,
192,164919,79,2,0,0,0,1,0,0
11,164949,0,45,,,,,,
12,164949,3,17,,,,,,
15,164950,1,,,,,,,
192,164950,61,3,0,0,0,1,0,0
192,164979,8,4,0,0,0,1,0,0
11,164999,0,45,,,,,,
192,165009,148,4,0,0,0,1,0,0
12,165024,3,17,,,,,,
192,165039,242,4,0,0,0,1,0,0
11,165049,0,44,,,,,,
15,165049,1,,,,,,,
192,165069,62,5,0,0,0,1,0,0
192,165099,131,5,0,0,0,1,0,0
11,165100,0,46,,,,,,
12,165100,3,18,,,,,,
192,165129,225,5,0,0,0,1,0,0
15,165149,1,,,,,,,
11,165149,0,45,,,,,,
192,165159,75,6,0,0,0,1,0,0
12,165174,3,18,,,,,,
192,165189,206,6,0,0,0,1,0,0
11,165199,0,42,,,,,,
192,165219,94,7,0,0,0,1,0,0
11,165249,0,42,,,,,,
12,165249,3,18,,,,,,
15,165250,1,,,,,,,
192,165250,249,7,0,0,0,1,0,0
192,165279,97,8,0,0,0,1,0,0
11,165299,0,43,,,,,,
192,165309,131,8,0,0,0,1,0,0
12,165324,3,17,,,,,,
192,165339,138,8,0,0,0,1,0,0
11,165349,0,44,,,,,,
15,165349,1,,,,,,,
192,165369,138,8,0,0,0,1,0,0
12,165399,3,18,,,,,,
11,165399,0,44,,,,,,
192,165400,143,8,0,0,0,1,0,0
192,165429,141,8,0,0,0,1,0,0
15,165449,1,,,,,,,
11,165449,0,42,,,,,,
192,165459,141,8,0,0,0,1,0,0
12,165474,3,17,,,,,,
192,165489,138,8,0,0,0,1,0,0
11,165499,0,41,,,,,,
192,165519,131,8,0,0,0,1,0,0
15,165549,1,,,,,,,
11,165549,0,42,,,,,,
12,165550,3,18,,,,,,
192,165550,81,8,0,0,0,1,0,0
192,165579,213,7,0,0,0,1,0,0
11,165599,0,43,,,,,,
192,165609,49,7,0,0,0,1,0,0
12,165624,3,17,,,,,,
192,165639,138,6,0,0,0,1,0,0
192,165649,0,0,0,0,0,0,0,0
11,165650,0,39,,,,,,
15,165650,1,,,,,,,
192,165669,198,5,0,0,0,1,0,0
192,165699,3,5,0,0,0,1,0,0
11,165700,0,40,,,,,,
12,165700,3,18,,,,,,
192,165729,70,4,0,0,0,1,0,0
192,165749,0,0,0,0,1,0,0,0
11,165750,0,43,,,,,,
15,165750,1,,,,,,,
192,165759,152,3,0,0,0,1,0,0
12,165774,3,18,,,,,,
192,165789,13,3,0,0,0,1,0,0
11,165799,0,42,,,,,,
192,165819,144,2,0,0,0,1,0,0
192,165849,45,2,0,0,0,1,0,0
11,165850,0,41,,,,,,
12,165850,3,17,,,,,,
15,165850,1,,,,,,,
192,165879,224,1,0,0,0,1,0,0
11,165899,0,42,,,,,,
192,165909,158,1,0,0,0,1,0,0
12,165924,3,18,,,,,,
192,165939,67,1,0,0,0,1,0,0
192,165949,0,0,0,0,0,0,0,0
11,165950,0,40,,,,,,
15,165950,1,,,,,,,
192,165969,217,0,0,0,0,1,0,0
192,165999,103,0,0,0,0,1,0,0
11,166000,0,42,,,,,,
12,166000,3,18,,,,,,
192,166000,0,0,0,0,1,0,0,0
192,166029,0,0,0,0,0,1,0,0
11,166049,0,42,,,,,,
15,166049,1,,,,,,,
192,166059,0,0,0,0,0,1,0,0
12,166074,3,17,,,,,,
192,166089,0,0,0,0,0,1,0,0
11,166099,0,44,,,,,,
192,166119,0,0,0,0,0,1,0,0
12,166149,3,18,,,,,,
11,166149,0,40,,,,,,
15,166150,1,,,,,,,
192,166150,0,0,0,0,0,0,0,0
192,166151,0,0,0,0,0,1,0,0
